,Bedrooms,Bathrooms,Status,Size,Location,Price,Facing,Type
0,2,0,1,1175,33,35.83,1,0
1,2,0,1,1221,33,37.24,1,0
2,2,0,1,1191,33,36.32,1,0
3,3,3,1,1587,55,55.5,8,0
4,0,0,2,1560,31,15.5,0,3
5,2,2,1,1450,55,48.0,1,0
6,2,2,3,1290,31,50.0,3,2
7,2,2,1,1200,55,40.0,1,0
8,3,3,1,1663,17,59.86,0,0
9,3,3,1,1500,23,56.0,1,1
10,3,3,1,2062,18,89.0,1,0
11,2,2,1,1250,14,39.0,1,0
12,2,2,1,1350,7,59.0,0,2
13,3,3,3,1600,74,95.0,8,1
14,6,7,1,3700,54,110.00000000000001,1,2
15,0,0,2,1782,31,16.83,1,3
16,0,0,2,1800,55,33.0,8,3
17,0,0,2,1500,31,20.0,1,3
19,3,3,1,1650,17,72.0,1,0
20,2,2,1,1000,52,56.0,1,2
23,2,2,3,1200,7,76.58,1,0
24,2,1,1,1151,23,28.18,1,0
25,0,0,0,1818,54,46.46,8,3
26,0,0,0,1647,31,25.61,1,3
28,3,3,1,2000,32,100.0,1,0
29,0,0,0,1647,17,29.25,8,3
30,2,2,1,1168,55,41.95,0,0
31,2,2,3,1200,7,58.8,0,0
32,0,0,0,1845,17,33.82,3,3
33,1,0,1,1054,31,26.5,1,0
34,3,3,1,1560,17,74.0,1,4
35,2,2,1,1400,45,57.0,1,0
36,0,0,0,1647,13,32.94,8,2
37,0,0,0,1647,31,31.11,0,3
38,0,0,0,1980,32,50.6,8,3
39,0,0,0,150,14,20.25,8,3
40,3,3,1,1460,11,75.0,1,3
41,2,2,1,1266,17,44.13,0,0
42,3,3,1,2000,60,65.0,1,0
43,2,2,3,1150,32,48.0,0,0
44,0,0,2,1620,31,22.5,0,2
45,0,0,0,1944,33,68.04,1,3
46,2,2,3,1103,55,60.0,0,3
47,1,1,1,914,17,53.5,1,2
48,2,2,3,900,52,50.0,1,0
49,2,2,1,1174,33,34.0,1,2
50,0,0,0,1818,55,33.33,0,0
51,0,0,0,1647,55,43.92,1,3
52,0,0,2,1800,17,17.0,1,3
53,0,0,0,1647,17,29.09,0,3
54,3,3,1,2000,65,105.0,1,3
55,2,2,1,1200,7,45.55,1,0
56,0,0,0,1080,78,9.6,1,0
57,3,3,3,1512,32,68.04,0,3
61,1,1,1,661,17,28.0,1,0
62,0,0,0,1350,61,13.5,1,0
63,2,2,3,1280,31,44.99,1,3
64,2,2,1,1100,13,22.0,1,2
65,0,0,0,2205,37,41.5,1,0
66,0,0,0,1800,31,28.0,1,3
67,0,0,2,1548,55,35.3,0,3
68,0,0,0,2700,31,39.0,0,3
69,0,0,0,1485,17,27.0,1,3
70,0,0,0,1350,31,24.0,0,3
71,2,2,1,800,19,24.0,1,3
73,2,2,1,1005,36,42.0,1,2
74,2,2,1,800,81,27.0,1,0
75,2,2,1,900,52,25.75,1,0
76,3,3,1,2280,18,60.0,1,0
77,2,2,1,950,17,26.5,1,0
78,2,2,1,1500,32,65.0,0,5
80,0,0,0,1647,14,30.19,0,5
81,2,2,1,1350,54,59.99,1,3
83,3,3,1,2120,81,85.0,1,2
84,0,0,0,1350,0,5.23,1,1
85,0,0,2,2097,40,74.65,8,3
86,0,0,0,3150,54,71.75,8,3
87,0,0,2,1548,54,35.3,0,3
88,0,0,0,1500,17,28.0,0,3
89,0,0,0,1818,55,32.11,8,3
92,0,0,0,1080,62,5.4,2,2
93,0,0,0,1080,62,5.39,3,3
94,0,0,0,1350,17,13.5,0,3
95,0,0,0,2052,31,38.76,0,3
96,0,0,0,1638,55,42.0,8,3
97,2,5,1,1107,85,110.00000000000001,1,3
99,3,3,3,2100,11,99.75,1,5
123,0,0,0,1647,60,29.09,0,0
124,0,0,0,1764,55,31.16,8,3
125,0,0,0,1764,55,32.34,0,3
127,0,0,0,1647,55,42.09,8,3
129,0,0,0,1719,14,31.51,0,3
130,0,0,0,1719,14,30.36,1,3
131,0,0,0,1719,14,30.36,8,3
132,0,0,0,1647,44,30.19,0,3
133,0,0,0,1647,44,29.09,8,3
134,2,2,1,1200,7,45.55,1,3
135,2,2,3,1200,7,75.0,1,0
136,0,0,0,1647,31,24.7,1,0
137,0,0,0,1647,31,25.61,1,3
138,0,0,0,1647,31,22.87,1,3
139,0,0,0,1944,31,36.72,0,3
140,0,0,0,1836,31,34.68,0,3
141,0,0,0,1782,31,33.66,0,3
142,3,3,1,2000,32,102.0,1,3
143,3,3,1,2000,65,108.0,1,0
144,3,3,1,2110,65,114.99999999999999,1,0
145,3,3,1,2110,65,115.99999999999999,1,0
146,2,2,1,1460,65,76.01,1,0
148,3,3,1,2320,65,132.0,1,0
149,3,3,1,2300,65,130.0,1,0
